GENE_symbol	DRUG_name	DRUG_type
HRH1	Olopatadine	approved
NR3C1	Hydrocortamate	approved
PTGER1	Alprostadil	approvedinvestigational
PTGER2	Alprostadil	approvedinvestigational
CHRM1	Clidinium	approved
BCHE	Malathion	approvedinvestigational
TOP2A	Etoposide	approved
SLC12A1	Hydroflumethiazide	approved
ITGA2B	Tirofiban	approved
ITGB3	Tirofiban	approved
SCN5A	Oxcarbazepine	approved
HRH1	Propiomazine	approved
MAOB	Phenelzine	approved
MAOA	Phenelzine	approved
CHRM1	Propantheline	approved
ESR1	Estradiol	approvedinvestigationalvet_approved
ESR2	Estradiol	approvedinvestigationalvet_approved
PTGS2	Mefenamic acid	approved
CHRM1	Cryptenamine	approved
CHRM3	Cryptenamine	approved
CHRM2	Cryptenamine	approved
CHRM5	Cryptenamine	approved
CHRM4	Cryptenamine	approved
MMP9	Marimastat	approvedinvestigational
MMP15	Marimastat	approvedinvestigational
MMP27	Marimastat	approvedinvestigational
MMP28	Marimastat	approvedinvestigational
MMP2	Marimastat	approvedinvestigational
MMP26	Marimastat	approvedinvestigational
MMP13	Marimastat	approvedinvestigational
MMP10	Marimastat	approvedinvestigational
MMP14	Marimastat	approvedinvestigational
MMP12	Marimastat	approvedinvestigational
MMP21	Marimastat	approvedinvestigational
MMP17	Marimastat	approvedinvestigational
MMP1	Marimastat	approvedinvestigational
MMP11	Marimastat	approvedinvestigational
MMP8	Marimastat	approvedinvestigational
MMP3	Marimastat	approvedinvestigational
MMP25	Marimastat	approvedinvestigational
MMP16	Marimastat	approvedinvestigational
MMP20	Marimastat	approvedinvestigational
MMP19	Marimastat	approvedinvestigational
MMP7	Marimastat	approvedinvestigational
MMP23A	Marimastat	approvedinvestigational
MMP24	Marimastat	approvedinvestigational
PTGS1	Naproxen	approvedvet_approved
PTGS2	Naproxen	approvedvet_approved
ACE	Perindopril	approved
HRH1	Tripelennamine	approvedvet_approved
GABRB3	Primidone	approvedvet_approved
GABRB2	Primidone	approvedvet_approved
GABRA3	Primidone	approvedvet_approved
GABRA4	Primidone	approvedvet_approved
GABRA2	Primidone	approvedvet_approved
GABRA5	Primidone	approvedvet_approved
GABRA4	Primidone	approvedvet_approved
GABRE	Primidone	approvedvet_approved
GABRA6	Primidone	approvedvet_approved
GABRQ	Primidone	approvedvet_approved
GABRA2	Primidone	approvedvet_approved
GABRA5	Primidone	approvedvet_approved
GABRA6	Primidone	approvedvet_approved
GABRA1	Primidone	approvedvet_approved
GABRA3	Primidone	approvedvet_approved
GABRG1	Primidone	approvedvet_approved
GABRP	Primidone	approvedvet_approved
GABRD	Primidone	approvedvet_approved
GABRB1	Primidone	approvedvet_approved
GABRA1	Primidone	approvedvet_approved
GABRG2	Primidone	approvedvet_approved
GABRG3	Primidone	approvedvet_approved
ALOX5	Sulfasalazine	approved
PPARG	Sulfasalazine	approved
PTGS1	Sulfasalazine	approved
PTGS2	Sulfasalazine	approved
AGTR1	Candesartan	approved
ADRA1A	Tolazoline	approvedvet_approved
RARB	Tazarotene	approvedinvestigational
RARA	Tazarotene	approvedinvestigational
RXRB	Tazarotene	approvedinvestigational
RARG	Tazarotene	approvedinvestigational
DRD1	Fenoldopam	approved
DRD5	Fenoldopam	approved
GABRB2	Halazepam	approvedillicitwithdrawn
GABRP	Halazepam	approvedillicitwithdrawn
GABRG2	Halazepam	approvedillicitwithdrawn
GABRA4	Halazepam	approvedillicitwithdrawn
GABRR2	Halazepam	approvedillicitwithdrawn
GABRR1	Halazepam	approvedillicitwithdrawn
GABRA1	Halazepam	approvedillicitwithdrawn
GABRB1	Halazepam	approvedillicitwithdrawn
GABRE	Halazepam	approvedillicitwithdrawn
GABRG1	Halazepam	approvedillicitwithdrawn
GABRA2	Halazepam	approvedillicitwithdrawn
GABRA5	Halazepam	approvedillicitwithdrawn
GABRB3	Halazepam	approvedillicitwithdrawn
GABRE	Halazepam	approvedillicitwithdrawn
GABRP	Halazepam	approvedillicitwithdrawn
GABRQ	Halazepam	approvedillicitwithdrawn
GABRA3	Halazepam	approvedillicitwithdrawn
GABRA5	Halazepam	approvedillicitwithdrawn
GABRA2	Halazepam	approvedillicitwithdrawn
GABRR3	Halazepam	approvedillicitwithdrawn
GABRA3	Halazepam	approvedillicitwithdrawn
GABRG1	Halazepam	approvedillicitwithdrawn
GABRG3	Halazepam	approvedillicitwithdrawn
GABRA1	Halazepam	approvedillicitwithdrawn
GABRD	Halazepam	approvedillicitwithdrawn
GABRA6	Halazepam	approvedillicitwithdrawn
GABRG2	Halazepam	approvedillicitwithdrawn
GABRB2	Halazepam	approvedillicitwithdrawn
GABRB1	Halazepam	approvedillicitwithdrawn
GABRB3	Halazepam	approvedillicitwithdrawn
GABRG3	Halazepam	approvedillicitwithdrawn
GABRD	Halazepam	approvedillicitwithdrawn
OPRM1	Alfentanil	approvedillicit
CHRM1	Dicyclomine	approved
HTR2A	Minaprine	approved
HTR2C	Minaprine	approved
MAOA	Minaprine	approved
ACHE	Minaprine	approved
HTR2B	Minaprine	approved
PDE4A	Pentoxifylline	approvedinvestigational
PDE4B	Pentoxifylline	approvedinvestigational
ADORA1	Pentoxifylline	approvedinvestigational
ADORA2A	Pentoxifylline	approvedinvestigational
PDE5A	Pentoxifylline	approvedinvestigational
SCN10A	Proparacaine	approvedvet_approved
KCNQ1	Indapamide	approved
KCNE1	Indapamide	approved
CHRM4	Tropicamide	approved
CHRNA2	Biperiden	approved
CHRM1	Biperiden	approved
IMPDH1	Ribavirin	approved
ADK	Ribavirin	approved
PTGS2	Phenylbutazone	approvedvet_approved
PTGS1	Phenylbutazone	approvedvet_approved
PTGIS	Phenylbutazone	approvedvet_approved
OPRD1	Fentanyl	approvedillicitinvestigationalvet_approved
OPRM1	Fentanyl	approvedillicitinvestigationalvet_approved
PTGS2	Meloxicam	approvedvet_approved
ADRB2	Orciprenaline	approved
GABRD	Propofol	approvedinvestigationalvet_approved
GABRB3	Propofol	approvedinvestigationalvet_approved
GABRB1	Propofol	approvedinvestigationalvet_approved
GABRQ	Propofol	approvedinvestigationalvet_approved
GABRG1	Propofol	approvedinvestigationalvet_approved
GABRA2	Propofol	approvedinvestigationalvet_approved
GABRB3	Propofol	approvedinvestigationalvet_approved
GABRA6	Propofol	approvedinvestigationalvet_approved
GABRA3	Propofol	approvedinvestigationalvet_approved
GABRA4	Propofol	approvedinvestigationalvet_approved
GABRA1	Propofol	approvedinvestigationalvet_approved
GABRA5	Propofol	approvedinvestigationalvet_approved
GABRB2	Propofol	approvedinvestigationalvet_approved
GABRP	Propofol	approvedinvestigationalvet_approved
GABRB2	Propofol	approvedinvestigationalvet_approved
GABRG3	Propofol	approvedinvestigationalvet_approved
GABRE	Propofol	approvedinvestigationalvet_approved
GABRG2	Propofol	approvedinvestigationalvet_approved
CA2	Acetazolamide	approvedvet_approved
CA4	Acetazolamide	approvedvet_approved
CA3	Acetazolamide	approvedvet_approved
CA12	Acetazolamide	approvedvet_approved
CA1	Acetazolamide	approvedvet_approved
CA7	Acetazolamide	approvedvet_approved
CA14	Acetazolamide	approvedvet_approved
PDE5A	Tadalafil	approvedinvestigational
PTGS2	Carprofen	approvedvet_approvedwithdrawn
ALDH2	Disulfiram	approved
DBH	Disulfiram	approved
ESR1	Ethynodiol diacetate	approved
PGR	Ethynodiol diacetate	approved
PDE4B	Enprofylline	approved
ADORA2B	Enprofylline	approved
PDE4A	Enprofylline	approved
TRPA1	Menthol	approved
TRPM8	Menthol	approved
TRPV3	Menthol	approved
GABRB1	Diazepam	approvedillicitvet_approved
GABRG1	Diazepam	approvedillicitvet_approved
GABRA2	Diazepam	approvedillicitvet_approved
GABRG3	Diazepam	approvedillicitvet_approved
GABRB2	Diazepam	approvedillicitvet_approved
GABRG2	Diazepam	approvedillicitvet_approved
GABRP	Diazepam	approvedillicitvet_approved
GABRB3	Diazepam	approvedillicitvet_approved
GABRA3	Diazepam	approvedillicitvet_approved
GABRA1	Diazepam	approvedillicitvet_approved
GABRB1	Diazepam	approvedillicitvet_approved
GABRE	Diazepam	approvedillicitvet_approved
GABRR3	Diazepam	approvedillicitvet_approved
GABRA3	Diazepam	approvedillicitvet_approved
GABRA2	Diazepam	approvedillicitvet_approved
GABRA5	Diazepam	approvedillicitvet_approved
GABRE	Diazepam	approvedillicitvet_approved
GABRP	Diazepam	approvedillicitvet_approved
GABRB2	Diazepam	approvedillicitvet_approved
GABRD	Diazepam	approvedillicitvet_approved
GABRA4	Diazepam	approvedillicitvet_approved
GABRA5	Diazepam	approvedillicitvet_approved
GABRA1	Diazepam	approvedillicitvet_approved
GABRB3	Diazepam	approvedillicitvet_approved
GABRG2	Diazepam	approvedillicitvet_approved
GABRQ	Diazepam	approvedillicitvet_approved
GABRG1	Diazepam	approvedillicitvet_approved
GABRR2	Diazepam	approvedillicitvet_approved
GABRR1	Diazepam	approvedillicitvet_approved
GABRQ	Diazepam	approvedillicitvet_approved
GABRD	Diazepam	approvedillicitvet_approved
GABRA6	Diazepam	approvedillicitvet_approved
GABRG3	Diazepam	approvedillicitvet_approved
SLC6A3	Phenmetrazine	approvedillicit
SLC6A2	Phenmetrazine	approvedillicit
ADRA1A	Trifluoperazine	approved
DRD2	Trifluoperazine	approved
CALY	Trifluoperazine	approved
NR3C1	Mifepristone	approvedinvestigational
PGR	Mifepristone	approvedinvestigational
HRH1	Brompheniramine	approved
OPRM1	Loperamide	approved
OPRK1	Loperamide	approved
OPRD1	Loperamide	approved
GABBR1	Progabide	approvedinvestigational
GABRA1	Progabide	approvedinvestigational
NR3C1	Clocortolone	approved
ABCC8	Tolazamide	approved
KCNJ11	Tolazamide	approved
ADRB1	Dobutamine	approved
GABRA1	Oxazepam	approved
GABRQ	Oxazepam	approved
GABRB1	Oxazepam	approved
GABRB2	Oxazepam	approved
GABRA1	Oxazepam	approved
GABRB3	Oxazepam	approved
GABRG2	Oxazepam	approved
GABRA4	Oxazepam	approved
GABRE	Oxazepam	approved
GABRA2	Oxazepam	approved
GABRA3	Oxazepam	approved
GABRR2	Oxazepam	approved
GABRP	Oxazepam	approved
GABRG1	Oxazepam	approved
GABRA5	Oxazepam	approved
GABRR3	Oxazepam	approved
GABRA6	Oxazepam	approved
GABRB1	Oxazepam	approved
GABRB2	Oxazepam	approved
GABRG1	Oxazepam	approved
GABRA4	Oxazepam	approved
GABRA3	Oxazepam	approved
GABRA2	Oxazepam	approved
GABRD	Oxazepam	approved
GABRA6	Oxazepam	approved
GABRD	Oxazepam	approved
GABRG3	Oxazepam	approved
GABRG2	Oxazepam	approved
GABRG3	Oxazepam	approved
GABRB3	Oxazepam	approved
GABRR1	Oxazepam	approved
GABRA5	Oxazepam	approved
GABRP	Oxazepam	approved
GABRQ	Oxazepam	approved
GABRE	Oxazepam	approved
ACHE	Donepezil	approved
OPRK1	Nalbuphine	approved
OPRD1	Nalbuphine	approved
OPRM1	Nalbuphine	approved
NR3C1	Flurandrenolide	approved
CHRNA3	Levamisole	vet_approvedwithdrawn
GABRA5	Methylphenobarbital	approved
GABRA1	Methylphenobarbital	approved
GABRA4	Methylphenobarbital	approved
GABRA2	Methylphenobarbital	approved
GABRA3	Methylphenobarbital	approved
GABRA6	Methylphenobarbital	approved
DRD1	Perphenazine	approved
DRD2	Perphenazine	approved
ADRA1A	Pseudoephedrine	approved
ADRA2A	Pseudoephedrine	approved
SLC6A4	Pseudoephedrine	approved
SLC6A3	Pseudoephedrine	approved
SLC6A2	Pseudoephedrine	approved
OPRM1	Levorphanol	approved
ALAD	Aminolevulinic acid	approved
SQLE	Terbinafine	approvedinvestigationalvet_approved
AR	Drostanolone	approvedillicit
NR3C1	Prednisolone	approvedvet_approved
PTGS2	Diflunisal	approved
PDE5A	Vardenafil	approved
HRH2	Ranitidine	approved
FKBP1A	Tacrolimus	approvedinvestigational
ADRA2A	Benzphetamine	approvedillicit
SLC18A2	Benzphetamine	approvedillicit
ADRA1A	Benzphetamine	approvedillicit
HTR1A	Alprenolol	approvedwithdrawn
ADRB2	Alprenolol	approvedwithdrawn
ADRB1	Alprenolol	approvedwithdrawn
ADRB2	Ritodrine	approved
CA2	Dorzolamide	approved
PTGS1	Suprofen	approvedwithdrawn
PTGS2	Suprofen	approvedwithdrawn
ADRB2	Terbutaline	approved
AVPR2	Conivaptan	approvedinvestigational
AVPR1A	Conivaptan	approvedinvestigational
NR3C1	Loteprednol	approved
DRD2	Flupentixol	approvedwithdrawn
HTR2A	Flupentixol	approvedwithdrawn
ADRA1A	Flupentixol	approvedwithdrawn
DRD1	Flupentixol	approvedwithdrawn
AGTR1	Eprosartan	approved
MTOR	Sirolimus	approvedinvestigational
FGF2	Sirolimus	approvedinvestigational
FKBP1A	Sirolimus	approvedinvestigational
CA2	Chlorothiazide	approvedvet_approved
CA4	Chlorothiazide	approvedvet_approved
SLC12A3	Chlorothiazide	approvedvet_approved
CA1	Chlorothiazide	approvedvet_approved
ACE	Quinapril	approvedinvestigational
ESR1	Clomifene	approvedinvestigational
NPR1	Isosorbide Dinitrate	approved
FDPS	Risedronate	approvedinvestigational
MME	Omapatrilat	investigational
SLC12A5	Bumetanide	approved
SLC12A1	Bumetanide	approved
SLC12A4	Bumetanide	approved
SLC12A2	Bumetanide	approved
HTR3A	Granisetron	approvedinvestigational
ESR1	Dienestrol	approved
SCN10A	Oxybuprocaine	approved
FTH1	Iron Dextran	approvedvet_approved
FTL	Iron Dextran	approvedvet_approved
HBB	Iron Dextran	approvedvet_approved
HBA1	Iron Dextran	approvedvet_approved
CYP19A1	Testolactone	approved
FCER1A	Benzylpenicilloyl Polylysine	approved
FCER1G	Benzylpenicilloyl Polylysine	approved
NR3C1	Rimexolone	approved
GABRA1	Triazolam	approved
GABRG2	Triazolam	approved
GABRE	Triazolam	approved
GABRG1	Triazolam	approved
GABRA6	Triazolam	approved
GABRA2	Triazolam	approved
GABRR2	Triazolam	approved
GABRQ	Triazolam	approved
GABRA3	Triazolam	approved
GABRA5	Triazolam	approved
GABRA2	Triazolam	approved
GABRR3	Triazolam	approved
GABRP	Triazolam	approved
GABRR1	Triazolam	approved
GABRP	Triazolam	approved
GABRG3	Triazolam	approved
GABRA1	Triazolam	approved
GABRB3	Triazolam	approved
GABRD	Triazolam	approved
GABRA3	Triazolam	approved
GABRA6	Triazolam	approved
GABRA4	Triazolam	approved
GABRB2	Triazolam	approved
GABRA5	Triazolam	approved
GABRB1	Triazolam	approved
GABRB3	Triazolam	approved
GABRA4	Triazolam	approved
GABRG2	Triazolam	approved
GABRB1	Triazolam	approved
GABRG3	Triazolam	approved
GABRB2	Triazolam	approved
GABRQ	Triazolam	approved
GABRD	Triazolam	approved
GABRE	Triazolam	approved
GABRG1	Triazolam	approved
GABRA1	Ethanol	approved
GLRA2	Ethanol	approved
GLRA1	Ethanol	approved
GRIN3A	Ethanol	approved
OPRM1	Remifentanil	approved
ADRB2	Bitolterol	withdrawn
HRH1	Methdilazine	approved
ATP1A1	Etacrynic acid	approved
SLC12A1	Etacrynic acid	approved
HTR3A	Ondansetron	approved
PTGFR	Bimatoprost	approvedinvestigational
PTGER3	Bimatoprost	approvedinvestigational
PTGER1	Bimatoprost	approvedinvestigational
SLC6A1	Tiagabine	approved
SCN5A	Cocaine	approvedillicit
SLC6A4	Cocaine	approvedillicit
SLC6A2	Cocaine	approvedillicit
SLC6A3	Cocaine	approvedillicit
SCN5A	Quinidine	approved
SCN3A	Zonisamide	approvedinvestigational
SCN4A	Zonisamide	approvedinvestigational
SCN1A	Zonisamide	approvedinvestigational
SCN2A	Zonisamide	approvedinvestigational
CACNA1G	Zonisamide	approvedinvestigational
SCN1B	Zonisamide	approvedinvestigational
SCN3B	Zonisamide	approvedinvestigational
SCN4B	Zonisamide	approvedinvestigational
CACNA1H	Zonisamide	approvedinvestigational
SCN11A	Zonisamide	approvedinvestigational
CACNA1I	Zonisamide	approvedinvestigational
SCN5A	Zonisamide	approvedinvestigational
SCN9A	Zonisamide	approvedinvestigational
SCN2B	Zonisamide	approvedinvestigational
VDR	Paricalcitol	approvedinvestigational
ABCC8	Repaglinide	approvedinvestigational
OPRM1	Anileridine	approvedillicit
PRKAA1	Phenformin	approvedwithdrawn
GRIN3A	Amantadine	approved
DRD2	Amantadine	approved
PTGER2	Dinoprostone	approved
PTGER1	Dinoprostone	approved
PTGER3	Dinoprostone	approved
PTGER4	Dinoprostone	approved
HRH1	Ketotifen	approved
OPRM1	Buprenorphine	approvedillicitinvestigationalvet_approved
OPRK1	Buprenorphine	approvedillicitinvestigationalvet_approved
TNNC1	Levosimendan	approvedinvestigational
KCNJ11	Levosimendan	approvedinvestigational
KCNJ8	Levosimendan	approvedinvestigational
HTR2A	Cyclobenzaprine	approved
ADRA1A	Phenoxybenzamine	approved
ADRA2A	Phenoxybenzamine	approved
RARA	Etretinate	withdrawn
RXRG	Etretinate	withdrawn
RARB	Etretinate	withdrawn
RARG	Etretinate	withdrawn
RXRB	Etretinate	withdrawn
RXRA	Etretinate	withdrawn
HRH2	Famotidine	approved
DNMT1	Azacitidine	approvedinvestigational
PTGER2	Misoprostol	approved
PTGER3	Misoprostol	approved
HTR2A	Mesoridazine	approved
DRD2	Mesoridazine	approved
SLC6A2	Maprotiline	approved
ADRA1A	Oxymetazoline	approved
ADRA2A	Oxymetazoline	approved
PTGS2	Salicylic acid	approvedvet_approved
PTGS1	Salicylic acid	approvedvet_approved
SLC6A3	Diethylpropion	approvedillicit
SLC6A2	Diethylpropion	approvedillicit
ADRB2	Salmeterol	approved
ALOX5	Meclofenamic acid	approvedvet_approved
PTGS2	Meclofenamic acid	approvedvet_approved
PTGS1	Meclofenamic acid	approvedvet_approved
HRH2	Methantheline	approved
BCHE	Hexafluronium	approved
CHRM1	Cycrimine	approved
ACHE	Demecarium	approved
PTGS1	Acetylsalicylic acid	approvedvet_approved
PTGS2	Acetylsalicylic acid	approvedvet_approved
VKORC1	Phenprocoumon	approved
ESR1	Fulvestrant	approvedinvestigational
GRIN2B	Felbamate	approved
GRIN3A	Felbamate	approved
GRIN2A	Felbamate	approved
HRH1	Fexofenadine	approved
HTR1A	Naratriptan	approvedinvestigational
HTR1D	Naratriptan	approvedinvestigational
HTR1F	Naratriptan	approvedinvestigational
HTR1B	Naratriptan	approvedinvestigational
HTR1D	Rizatriptan	approved
HTR1B	Rizatriptan	approved
HTR1F	Rizatriptan	approved
OPRM1	Hydrocodone	approvedillicit
OPRD1	Hydrocodone	approvedillicit
PGR	Norgestimate	approved
ESR1	Norgestimate	approved
NR3C1	Methylprednisolone	approvedvet_approved
ADRB2	Pindolol	approved
ADRB1	Pindolol	approved
SCN10A	Mepivacaine	approvedvet_approved
GABRA1	Zaleplon	approvedillicitinvestigational
TSPO	Zaleplon	approvedillicitinvestigational
PTGS2	Bromfenac	approved
ADRA2A	Apraclonidine	approved
ADRA1A	Apraclonidine	approved
PPARG	Telmisartan	approvedinvestigational
AGTR1	Telmisartan	approvedinvestigational
HRH1	Desloratadine	approvedinvestigational
ADRA2A	Methyldopa	approved
HTR3A	Alosetron	approvedwithdrawn
HRH1	Azelastine	approved
SOAT1	Ezetimibe	approved
NPC1L1	Ezetimibe	approved
ADA	Dipyridamole	approved
PDE4A	Dipyridamole	approved
PDE10A	Dipyridamole	approved
PDE5A	Dipyridamole	approved
ESR1	Ethinyl Estradiol	approved
CHRM1	Cyclopentolate	approved
MTNR1B	Ramelteon	approvedinvestigational
MTNR1A	Ramelteon	approvedinvestigational
ACHE	Physostigmine	approved
ADRB2	Formoterol	approvedinvestigational
AR	Nandrolone phenpropionate	approvedillicit
HRH1	Dimenhydrinate	approved
CHRM1	Glycopyrronium	approvedinvestigationalvet_approved
POLB	Cytarabine	approvedinvestigational
DRD1	Dopamine	approved
DRD4	Dopamine	approved
DRD5	Dopamine	approved
DRD3	Dopamine	approved
DBH	Dopamine	approved
SLC6A3	Dopamine	approved
DRD2	Dopamine	approved
BCHE	Rivastigmine	approvedinvestigational
ACHE	Rivastigmine	approvedinvestigational
CYP19A1	Exemestane	approvedinvestigational
PTGS1	Oxaprozin	approved
PTGS2	Oxaprozin	approved
HPRT1	Azathioprine	approved
PRDX5	Auranofin	approved
IKBKB	Auranofin	approved
CACNA1B	Gabapentin	approvedinvestigational
CACNA2D2	Gabapentin	approvedinvestigational
CACNA2D1	Gabapentin	approvedinvestigational
TOP2A	Doxorubicin	approvedinvestigational
HTR1D	Frovatriptan	approvedinvestigational
HTR1B	Frovatriptan	approvedinvestigational
SLC12A3	Hydrochlorothiazide	approvedvet_approved
ADRB2	Salbutamol	approvedvet_approved
SCN10A	Levobupivacaine	approved
KCNMA1	Cromoglicic acid	approved
RRM1	Hydroxyurea	approved
CYP19A1	Letrozole	approvedinvestigational
PTGS2	Ketoprofen	approvedvet_approved
BCHE	Edrophonium	approved
ACHE	Edrophonium	approved
CYP11B1	Metyrapone	approved
CASR	Cinacalcet	approved
NR3C1	Clobetasol propionate	approved
ALOX5	Balsalazide	approvedinvestigational
PPARG	Balsalazide	approvedinvestigational
PTGS1	Balsalazide	approvedinvestigational
PTGS2	Balsalazide	approvedinvestigational
ABCC8	Glyburide	approved
KCNJ11	Glyburide	approved
ADRA2A	Guanfacine	approvedinvestigational
CHRM2	Bethanechol	approved
GUCY1A2	Isosorbide Mononitrate	approved
ATP1A1	Trichlormethiazide	approvedvet_approved
SLC12A1	Trichlormethiazide	approvedvet_approved
GGCX	Phylloquinone	approved
CACNA2D1	Felodipine	approvedinvestigational
CACNB2	Felodipine	approvedinvestigational
CACNA1D	Felodipine	approvedinvestigational
CACNA1S	Felodipine	approvedinvestigational
CACNA1C	Felodipine	approvedinvestigational
IMPDH2	Mycophenolic acid	approved
IMPDH1	Mycophenolic acid	approved
GLRA1	Methoxyflurane	approvedvet_approved
GABRB1	Methoxyflurane	approvedvet_approved
GABRB3	Methoxyflurane	approvedvet_approved
GABRA3	Methoxyflurane	approvedvet_approved
GABRA2	Methoxyflurane	approvedvet_approved
GABRA5	Methoxyflurane	approvedvet_approved
KCNA1	Methoxyflurane	approvedvet_approved
GABRP	Methoxyflurane	approvedvet_approved
GABRA1	Methoxyflurane	approvedvet_approved
GRIA1	Methoxyflurane	approvedvet_approved
GABRD	Methoxyflurane	approvedvet_approved
GABRQ	Methoxyflurane	approvedvet_approved
GABRA6	Methoxyflurane	approvedvet_approved
GABRG1	Methoxyflurane	approvedvet_approved
GABRG3	Methoxyflurane	approvedvet_approved
GABRA4	Methoxyflurane	approvedvet_approved
GABRG2	Methoxyflurane	approvedvet_approved
GABRB2	Methoxyflurane	approvedvet_approved
GABRA1	Methoxyflurane	approvedvet_approved
GABRE	Methoxyflurane	approvedvet_approved
AGTR1	Irbesartan	approvedinvestigational
TOP1	Topotecan	approvedinvestigational
CA2	Ethinamate	approvedillicitwithdrawn
CA1	Ethinamate	approvedillicitwithdrawn
SLC22A6	Probenecid	approved
SLC22A8	Probenecid	approved
SLC22A11	Probenecid	approved
HPRT1	Mercaptopurine	approved
FASN	Cerulenin	approved
CHRM5	Tolterodine	approvedinvestigational
CHRM2	Tolterodine	approvedinvestigational
CHRM1	Tolterodine	approvedinvestigational
CHRM3	Tolterodine	approvedinvestigational
CHRM4	Tolterodine	approvedinvestigational
MAOB	Selegiline	approvedinvestigationalvet_approved
DRD2	Carphenazine	withdrawn
DRD5	Carphenazine	withdrawn
DRD1	Carphenazine	withdrawn
PPARA	Fenofibrate	approved
FGFR2	Thalidomide	approvedinvestigationalwithdrawn
NFKB1	Thalidomide	approvedinvestigationalwithdrawn
CRBN	Thalidomide	approvedinvestigationalwithdrawn
TNF	Thalidomide	approvedinvestigationalwithdrawn
GRIN2B	Memantine	approvedinvestigational
GRIN3A	Memantine	approvedinvestigational
GRIN2A	Memantine	approvedinvestigational
CLCN2	Lubiprostone	approvedinvestigational
NR3C1	Fluocinonide	approvedinvestigational
SLCO2B1	Ergoloid mesylate	approved
ADRA2C	Ergoloid mesylate	approved
ADRA2B	Ergoloid mesylate	approved
ADRA1B	Ergoloid mesylate	approved
ADRA1D	Ergoloid mesylate	approved
ADRA1A	Ergoloid mesylate	approved
ADRA2A	Ergoloid mesylate	approved
PTGS2	Ibuprofen	approved
PTGS1	Ibuprofen	approved
CACNB2	Nitrendipine	approved
CACNA2D1	Nitrendipine	approved
CACNG1	Nitrendipine	approved
CACNA1S	Nitrendipine	approved
CACNA1D	Nitrendipine	approved
CACNA1C	Nitrendipine	approved
SHMT1	Mimosine	approved
CCL2	Mimosine	approved
SCN5A	Tocainide	approved
BCHE	Echothiophate	approved
CHRM1	Oxybutynin	approvedinvestigational
CHRM2	Oxybutynin	approvedinvestigational
CHRM3	Oxybutynin	approvedinvestigational
DRD1	Acetophenazine	approved
DRD2	Acetophenazine	approved
ADRB2	Isoprenaline	approved
ADRB1	Isoprenaline	approved
ADRB3	Isoprenaline	approved
MTNR1A	Melatonin	approvednutraceuticalvet_approved
MTNR1B	Melatonin	approvednutraceuticalvet_approved
ABCC8	Glipizide	approved
GABRP	Clonazepam	approvedillicit
GABRB3	Clonazepam	approvedillicit
GABRB1	Clonazepam	approvedillicit
GABRG1	Clonazepam	approvedillicit
GABRA5	Clonazepam	approvedillicit
GABRG3	Clonazepam	approvedillicit
GABRQ	Clonazepam	approvedillicit
GABRG2	Clonazepam	approvedillicit
GABRA3	Clonazepam	approvedillicit
GABRA2	Clonazepam	approvedillicit
GABRA4	Clonazepam	approvedillicit
GABRD	Clonazepam	approvedillicit
GABRB2	Clonazepam	approvedillicit
GABRA1	Clonazepam	approvedillicit
GABRA6	Clonazepam	approvedillicit
GABRE	Clonazepam	approvedillicit
HRH1	Promethazine	approved
VDR	Dihydrotachysterol	approved
HRH1	Mequitazine	approved
DCK	Fludarabine	approved
POLA1	Fludarabine	approved
RRM1	Fludarabine	approved
CPT1A	Perhexiline	approved
CPT2	Perhexiline	approved
HRH1	Diphenhydramine	approved
HMGCR	Atorvastatin	approved
ATP1A1	Deslanoside	approved
HTR4	Tegaserod	investigationalwithdrawn
ABAT	Vigabatrin	approved
GABBR1	Vigabatrin	approved
OPRM1	Diphenoxylate	approvedillicit
PNLIP	Orlistat	approvedinvestigational
LIPF	Orlistat	approvedinvestigational
FASN	Orlistat	approvedinvestigational
HRH1	Emedastine	approved
CHRM1	Pilocarpine	approved
CHRM3	Pilocarpine	approved
CHRM2	Pilocarpine	approved
SCN10A	Benzocaine	approved
PTGIR	Iloprost	approvedinvestigational
PTGER1	Iloprost	approvedinvestigational
SLC18A2	Deserpidine	approved
CHRNA10	Pentolinium	approved
CHRNA3	Pentolinium	approved
CHRNB4	Pentolinium	approved
SQLE	Butenafine	approved
ATP1A1	Ouabain	approved
SOAT1	Hesperetin	approved
MTTP	Hesperetin	approved
HMGCR	Fluvastatin	approved
DHODH	Leflunomide	approvedinvestigational
HMGCR	Rosuvastatin	approved
DRD2	Pimozide	approved
KCNH2	Pimozide	approved
DRD3	Pimozide	approved
TYMS	Capecitabine	approvedinvestigational
ADRB1	Arbutamine	approved
PLA2G4A	Quinacrine	approved
PLA2G6	Quinacrine	approved
PLCL1	Quinacrine	approved
SLC6A4	Sertraline	approved
SLC6A3	Sibutramine	approvedillicitinvestigationalwithdrawn
SLC6A2	Sibutramine	approvedillicitinvestigationalwithdrawn
SLC6A4	Sibutramine	approvedillicitinvestigationalwithdrawn
NTSR2	Levocabastine	approved
HRH1	Levocabastine	approved
GABRP	Methyprylon	approvedillicitwithdrawn
GABRB2	Methyprylon	approvedillicitwithdrawn
GABRA6	Methyprylon	approvedillicitwithdrawn
GABRA3	Methyprylon	approvedillicitwithdrawn
GABRG1	Methyprylon	approvedillicitwithdrawn
GABRA5	Methyprylon	approvedillicitwithdrawn
GABRA1	Methyprylon	approvedillicitwithdrawn
