gene	rseq
PHOX2B	NM_003924
HENMT1	NM_144584
KIF2A	NM_001098511
WDR67	NM_145647
COG6	NM_020751
RPS20	NM_001146227
AGAP4	NM_133446
PGK2	NM_138733
BBS4	NM_033028
CCDC170	NM_025059
CTTNBP2	NM_033427
KIAA1737	NM_033426
ATP13A2	NM_022089
PGAP3	NM_033419
TMEM259	NM_001033026
CA9	NM_001216
CTSS	NM_004079
HADH	NM_001184705
LRRC8C	NM_032270
RAB5B	NM_002868
EXTL2	NM_001261441
CHURC1-FNTB	NM_001202559
COL5A1	NM_000093
ZNF155	NM_001260488
NCBP1	NM_002486
AMN	NM_030943
ZP1	NM_207341
ZDHHC24	NM_207340
CBY1	NM_001002880
C10orf68	NM_024688
BATF2	NM_138456
NXNL1	NM_138454
RAB3C	NM_138453
ABHD16B	NM_080622
SLC7A14	NM_020949
MEX3A	NM_001093725
CNPY1	NM_001103176
ERLIN1	NM_006459
OTOP3	NM_178233
CRMP1	NM_001014809
ARFGAP3	NM_014570
LMAN2L	NM_001142292
TMEM67	NM_153704
HMSD	NM_001123366
PPP1R18	NM_133471
PRAMEF11	NM_001146344
C17orf104	NM_001145080
CD40LG	NM_000074
DNAH10	NM_207437
GCAT	NM_001171690
C1orf116	NM_023938
ZNF565	NM_152477
MRPL33	NM_004891
RABGGTB	NM_004582
FOSL1	NM_005438
SULF2	NM_018837
NHLRC1	NM_198586
KLHL30	NM_198582
FMN1	NM_001103184
NKX2-6	NM_001136271
C2CD4C	NM_001136263
SGMS2	NM_152621
ERCC2	NM_000400
ENPP2	NM_006209
FAM110C	NM_001077710
NXPE4	NM_001077639
PRCD	NM_001077620
EXOC3L4	NM_001077594
SLC39A7	NM_006979
ZNF804B	NM_181646
USP44	NM_032147
C19orf60	NM_001100418
HVCN1	NM_032369
SPTSSB	NM_001040100
CPSF4L	NM_001129885
ANG	NM_001145
UGT2A2	NM_001105677
TRAPPC2	NM_001128835
C9orf57	NM_001128618
PABPC1L	NM_001124756
DOK7	NM_173660
BBOX1	NM_003986
TIMM8A	NM_004085
TNNT1	NM_003283
CT62	NM_001102658
ZNF836	NM_001102657
ZBTB4	NM_020899
SCAI	NM_173690
ACAD10	NM_001136538
SLC2A6	NM_017585
TNKS2	NM_025235
PRSS21	NM_006799
C18orf25	NM_145055
C9orf24	NM_032596
PSMG2	NM_020232
OR5P3	NM_153445
OR5P2	NM_153444
ATP5G3	NM_001689
AZU1	NM_001700
ATP5B	NM_001686
ATP2B4	NM_001684
CORT	NM_001302
COX10	NM_001303
RHOG	NM_001665
RHOA	NM_001664
OSBP	NM_002556
TGFA	NM_003236
GUCY2F	NM_001522
CTRB1	NM_001906
PSME2	NM_002818
CRHR2	NM_001202475
OTX1	NM_014562
TMEM41B	NM_015012
EGR2	NM_000399
USB1	NM_024598
C10orf62	NM_001009997
SPAG6	NM_012443
NDUFA11	NM_001193375
STK35	NM_080836
PABPC5	NM_080832
FAM65C	NM_080829
CDK4	NM_000075
TERT	NM_198253
CRIP1	NM_001311
CNN1	NM_001299
CPN1	NM_001308
CNGB1	NM_001297
CFD	NM_001928
PNP	NM_000270
CST3	NM_000099
DPYD	NM_000110
MARK4	NM_001199867
NAGA	NM_000262
PLEKHS1	NM_182601
XPO1	NM_003400
IFT172	NM_015662
RHBDD3	NM_012265
PHACTR2	NM_001100164
KLK13	NM_015596
SEMG1	NM_003007
RBMS1	NM_016836
EIF4H	NM_022170
IFIH1	NM_022168
OCEL1	NM_024578
TUBAL3	NM_024803
FAM57A	NM_024792
PLEKHG2	NM_022835
RNF122	NM_024787
RDH5	NM_002905
PPP2R5A	NM_006243
SAA2-SAA4	NM_001199744
TXNDC5	NM_030810
MFSD5	NM_001170790
COL27A1	NM_032888
PPP1R32	NM_145017
PCDHB16	NM_020957
OGFOD1	NM_018233
VKORC1	NM_024006
OTUB2	NM_023112
TBC1D29	NM_015594
CCDC9	NM_015603
MSS51	NM_001024593
C18orf54	NM_173529
ZNF610	NM_173530
C15orf26	NM_173528
REM2	NM_173527
CYLC1	NM_021118
NCS1	NM_014286
DCAKD	NM_024819
CRP	NM_000567
TNFRSF1B	NM_001066
CRYM	NM_001888
TNFRSF1A	NM_001065
SLC31A2	NM_001860
SRD5A1	NM_001047
NXF1	NM_006362
H2AFV	NM_012412
PAPD4	NM_173797
DHX36	NM_020865
UQCRC1	NM_003365
C10orf10	NM_007021
RAB1B	NM_030981
PABPC3	NM_030979
ISG20L2	NM_030980
ETNK1	NM_018638
ARHGAP9	NM_032496
KIAA1841	NM_001129993
KBTBD8	NM_032505
UNC80	NM_032504
ALDH1A2	NM_003888
FKBP1A	NM_000801
OR5K3	NM_001005516
RAI2	NM_021785
WASF2	NM_006990
PPBP	NM_002704
FIBP	NM_198897
CCL23	NM_005064
HDGF	NM_001126050
CCIN	NM_005893
DNAL4	NM_005740
NFKBIE	NM_004556
ACTR1A	NM_005736
CTNS	NM_001031681
CDKN2B	NM_004936
CACNA1S	NM_000069
CA11	NM_001217
C6orf170	NM_152730
SPACA3	NM_173847
PHACTR1	NM_030948
CAP2	NM_006366
SSR3	NM_007107
TCTA	NM_022171
NECAP2	NM_001145277
FABP1	NM_001443
PRDX3	NM_006793
SF3A3	NM_006802
CCDC28A	NM_015439
ELOVL5	NM_001242828
LOC100505549	NM_001242804
NUP93	NM_014669
SPRR2E	NM_001024209
ATF4	NM_001675
PSMB5	NM_002797
PSMC6	NM_002806
PSMB4	NM_002796
PSMC3	NM_002804
PSMB1	NM_002793
PSMC1	NM_002802
PSMA6	NM_002791
CCL17	NM_002987
LSAMP	NM_002338
TEAD3	NM_003214
TRIP11	NM_004239
TPH1	NM_004179
FFAR2	NM_005306
ELOVL2	NM_017770
G2E3	NM_017769
SPC25	NM_020675
MTMR10	NM_017762
SDSL	NM_138432
GLCCI1	NM_138426
C12orf57	NM_138425
KIF12	NM_138424
ADAT3	NM_138422
SAAL1	NM_138421
CCDC101	NM_138414
PUS7L	NM_031292
ANP32B	NM_006401
CCDC78	NM_001031737
FBXL13	NM_145032
DOHH	NM_031304
IGSF9	NM_001135050
C19orf69	NM_001130514
FGL1	NM_004467
ACSL3	NM_004457
DYNLL2	NM_080677
THAP6	NM_144721
LRP10	NM_014045
MYOM2	NM_003970
LPHN3	NM_015236
CCDC74B	NM_207310
CAPN13	NM_144575
ATP5E	NM_006886
HBE1	NM_005330
HAS2	NM_005328
JAK1	NM_002227
ITPR2	NM_002223
DPAGT1	NM_001382
CELA3A	NM_005747
SLC9A5	NM_004594
LHFPL2	NM_005779
RAP1A	NM_002884
RANGAP1	NM_002883
RANBP1	NM_002882
ZNF76	NM_003427
NRIP1	NM_003489
SMNDC1	NM_005871
MOCS2	NM_004531
WNT8B	NM_003393
WNT5A	NM_003392
HMGA2	NM_003483
TMEM189	NM_199129
CES4A	NM_173815
SEC22C	NM_032970
GALR3	NM_003614
KCND3	NM_004980
TPD52	NM_001025252
KCND1	NM_004979
PDZK1IP1	NM_005764
RAMP2	NM_005854
ZNF197	NM_006991
NUCB1	NM_006184
LIMD1	NM_014240
KSR1	NM_014238
C14orf1	NM_007176
PROCR	NM_006404
NEDD9	NM_006403
MAGEH1	NM_014061
SLC12A7	NM_006598
TPR	NM_003292
PPFIA1	NM_003626
HLA-DMA	NM_006120
C1orf27	NM_017847
ACTR8	NM_022899
KRTAP4-4	NM_032524
SAP130	NM_001145928
FCHO2	NM_138782
RAB37	NM_001163989
KDM8	NM_001145348
CPEB2	NM_001177382
EMC1	NM_015047
WRB	NM_004627
GNA15	NM_002068
FSTL3	NM_005860
ADAMTS5	NM_007038
STAG1	NM_005862
TMEM14A	NM_014051
CIB1	NM_006384
IL17RB	NM_018725
EBPL	NM_032565
ARHGAP10	NM_024605
LIN28A	NM_024674
LCE3D	NM_032563
BBS10	NM_024685
KIAA1467	NM_020853
RPP25	NM_017793
ZNHIT6	NM_017953
UBAP1L	NM_001163692
SMIM1	NM_001163724
BAG3	NM_004281
DNASE2B	NM_021233
MFSD4	NM_181644
NOTCH2NL	NM_203458
CALR3	NM_145046
PRKCDBP	NM_145040
CCDC164	NM_145038
DNTTIP1	NM_052951
LOC100288255	NM_001199232
PPP3R1	NM_000945
SNN	NM_003498
BBS1	NM_024649
AGMAT	NM_024758
PARD6G	NM_032510
GHRH	NM_021081
TRIAP1	NM_016399
SPP2	NM_006944
RAB3GAP2	NM_012414
WDR46	NM_005452
TM9SF3	NM_020123
CD37	NM_001774
CCT7	NM_006429
CLSTN1	NM_001009566
ZP3	NM_001110354
TMPRSS11A	NM_182606
FBXO45	NM_001105573
PLA2G2A	NM_000300
ISM1	NM_080826
PROKR1	NM_138964
DACH2	NM_053281
SLC24A4	NM_153646
RPS6KL1	NM_031464
MXD1	NM_002357
GDF1	NM_001492
HGFAC	NM_001528
ENDOG	NM_004435
SAR1A	NM_020150
SRPK2	NM_182692
CD27	NM_001242
RPS11	NM_001015
CXorf27	NM_012274
TRIM66	NM_014818
KLHL20	NM_014458
CPAMD8	NM_015692
UBA6	NM_018227
OR2B2	NM_033057
TSPAN14	NM_030927
RBP7	NM_052960
KANSL3	NM_001115016
EDC3	NM_025083
TRAF3IP2	NM_147686
MTIF2	NM_002453
MAN1B1	NM_016219
LRRC16A	NM_017640
DPY19L1	NM_015283
MAP3K3	NM_203351
CLUH	NM_015229
OR10H3	NM_013938
CYSLTR1	NM_006639
EME1	NM_001166131
PGA3	NM_001079807
PTPRQ	NM_001145026
PCDHGA3	NM_018916
PTPLAD1	NM_016395
PCDHGA2	NM_018915
HPS5	NM_181507
MVP	NM_005115
CYTH1	NM_004762
LYG2	NM_175735
C17orf74	NM_175734
LST1	NM_007161
USP11	NM_004651
AKAP8L	NM_014371
SRPK3	NM_014370
PALMD	NM_017734
TMED7	NM_181836
NF2	NM_000268
C15orf43	NM_152448
ZNF620	NM_175888
VGLL4	NM_001128219
UBE2M	NM_003969
NKAIN1	NM_024522
HUWE1	NM_031407
APOC4	NM_001646
KIAA1524	NM_020890
METTL24	NM_001123364
DEFB135	NM_001033017
GSX2	NM_133267
SHANK2	NM_133266
WFDC11	NM_147197
OSCAR	NM_206818
FAM71B	NM_130899
DYNLRB2	NM_130897
PPIL3	NM_032472
WFDC8	NM_130896
COX7B2	NM_130902
ZNF285	NM_152354
NTAN1	NM_173474
RAET1L	NM_130900
GLYATL2	NM_145016
TOP1MT	NM_052963
C12orf54	NM_152319
RABEP2	NM_024816
ZNF681	NM_138286
PIK3AP1	NM_152309
SPRY4	NM_030964
PDZD7	NM_001195263
TNFSF12-TNFSF13	NM_172089
SYNE2	NM_182914
CCNE1	NM_001238
CCNA2	NM_001237
CASQ2	NM_001232
DBF4B	NM_145663
SPESP1	NM_145658
PLA2G2E	NM_014589
AKAP12	NM_005100
CLDN14	NM_012130
MMP19	NM_002429
KCNA4	NM_002233
RFX8	NM_001145664
SPDYA	NM_182756
C2orf74	NM_001143959
BHLHA9	NM_001164405
ARF6	NM_001663
ATP6V1E1	NM_001696
ATP6V1C1	NM_001695
ATP6V1B2	NM_001693
FANCG	NM_004629
WNT11	NM_004626
F2RL2	NM_004101
PLA2G2C	NM_001105572
PDK4	NM_002612
PITX1	NM_002653
GLP2R	NM_004246
PKM	NM_001206796
ITGA10	NM_003637
IGFLR1	NM_024660
IPO4	NM_024658
ZNF737	NM_001159293
C18orf62	NM_001037331
CELSR1	NM_014246
RNF7	NM_014245
ADAMTS2	NM_014244
AGPAT1	NM_006411
IL13RA2	NM_000640
VTN	NM_000638
SOD2	NM_000636
RFX2	NM_000635
CXCR1	NM_000634
BCL2	NM_000633
PRPF18	NM_003675
CDKL1	NM_004196
USP2	NM_004205
ELMSAN1	NM_194278
ACBD7	NM_001039844
CDC14B	NM_033331
TXNRD3NB	NM_001039783
MAF	NM_005360
LIMK2	NM_001031801
SORBS1	NM_001034954
TTC8	NM_144596
TRMT12	NM_017956
TMEM39B	NM_018056
NODAL	NM_018055
ZBTB1	NM_001123329
MTO1	NM_001123226
RFPL4A	NM_001145014
KIR3DL2	NM_006737
ZNHIT2	NM_014205
FLVCR1	NM_014053
MKLN1	NM_013255
ARID1A	NM_006015
C11orf74	NM_138787
CNTNAP4	NM_138994
OIT3	NM_152635
CXorf22	NM_152632
HMX3	NM_001105574
IL17RE	NM_153483
ASB6	NM_017873
OTOP1	NM_177998
KCTD6	NM_153331
ALDH16A1	NM_153329
OR2T33	NM_001004695
OR4C6	NM_001004704
SLC4A1	NM_000342
IMPDH2	NM_000884
RPL30	NM_000989
CLCN1	NM_000083
MYL2	NM_000432
SLC5A2	NM_003041
SIAH1	NM_001006610
NR2E1	NM_003269
TSPAN6	NM_003270
HECTD2	NM_182765
RPL7L1	NM_198486
ZNF621	NM_198484
PPAPDC2	NM_203453
POLR1D	NM_015972
BCL9L	NM_182557
RIMS4	NM_001205317
STARD5	NM_181900
CPXM2	NM_198148
ABHD15	NM_198147
IGSF23	NM_001205280
RAD54B	NM_012415
MTDH	NM_178812
C2CD4A	NM_207322
C1QTNF8	NM_207419
EML5	NM_183387
MT1M	NM_176870
TUSC3	NM_006765
OR4X2	NM_001004727
DUXA	NM_001012729
EMC8	NM_006067
SENP7	NM_020654
SLC6A18	NM_182632
WDR72	NM_182758
C16orf74	NM_206967
PAIP1	NM_006451
SCGB1D4	NM_206998
ARL5B	NM_178815
AKAP14	NM_178813
CISD3	NM_001136498
FAM127C	NM_001078173
POLG	NM_002693
GUF1	NM_021927
WDR26	NM_025160
C19orf10	NM_019107
DCTPP1	NM_024096
ASB8	NM_024095
GPATCH3	NM_022078
HSPA2	NM_021979
ASXL3	NM_030632
UXS1	NM_001253875
ABHD3	NM_138340
SIGLEC8	NM_014442
LAP3	NM_015907
PRPS2	NM_001039091
KRTAP1-4	NM_001257305
ALCAM	NM_001627
AMPH	NM_001635
AMD1	NM_001634
KLRC2	NM_002260
KLRB1	NM_002258
RAB28	NM_001017979
MRPL49	NM_004927
S1PR4	NM_003775
PTMA	NM_001099285
FLRT2	NM_013231
CHERP	NM_006387
HYOU1	NM_006389
CLEC2D	NM_001004419
NBPF14	NM_015383
PPP2R3C	NM_017917
NFIX	NM_001271043
NEUROD1	NM_002500
NDUFA6	NM_002490
ZNF280B	NM_080764
WFDC10A	NM_080753
ZSWIM3	NM_080752
BSCL2	NM_001122955
ADAM29	NM_014269
SPECC1L	NM_015330
POC1B-GALNT4	NM_001199781
MUSK	NM_005592
LRSAM1	NM_138361
CUTA	NM_001014433
COA6	NM_001012985
SMIM17	NM_001193628
TTC40	NM_001200049
LOC643355	NM_001270945
MINPP1	NM_004897
LGALS3	NM_002306
LGALS1	NM_002305
RTN4R	NM_023004
LRRK1	NM_024652
KRT8	NM_001256282
GLRA4	NM_001024452
PARK2	NM_004562
IARS2	NM_018060
PCIF1	NM_022104
FCHSD1	NM_033449
GTSF1	NM_144594
COMTD1	NM_144589
ANKRD22	NM_144590
CREB3	NM_006368
DYRK1B	NM_004714
PRND	NM_012409
PITPNB	NM_012399
CX3CL1	NM_002996
FGF12	NM_021032
SMR3A	NM_012390
DCPS	NM_014026
PADI4	NM_012387
GTPBP4	NM_012341
KHDC1L	NM_001126063
SYT14	NM_001146261
PRKCG	NM_002739
SEC62	NM_003262
KREMEN1	NM_032045
TDRD1	NM_198795
DDAH1	NM_012137
CYBA	NM_000101
C1orf106	NM_018265
SEC63	NM_007214
KCTD7	NM_153033
FAM181B	NM_175885
ZNF461	NM_153257
OR7D2	NM_175883
LRRC57	NM_153260
RGL4	NM_153615
C6orf70	NM_018341
RGS1	NM_002922
RFX3	NM_134428
SFTPD	NM_003019
ASPM	NM_018136
SCG5	NM_001144757
CLDN10	NM_006984
ALX1	NM_006982
MTERF	NM_006980
RAD23A	NM_005053
SNRPB2	NM_003092
SOAT1	NM_003101
XAGE3	NM_130776
XAGE5	NM_130775
FRMD5	NM_032892
GPHA2	NM_130769
ARHGAP19	NM_032900
FTMT	NM_177478
LYNX1	NM_023946
TRIM54	NM_032546
HOMER3	NM_004838
EIF2AK3	NM_004836
AIM2	NM_004833
GLTSCR1	NM_015711
DLG3	NM_021120
AVEN	NM_020371
POPDC3	NM_022361
C2orf81	NM_001145054
C5orf60	NM_001142306
EFCAB5	NM_198529
LRRC38	NM_001010847
SHE	NM_001010846
PRDM7	NM_001098173
MFSD1	NM_022736
MAP7D3	NM_024597
TVP23C-CDRT4	NM_001204478
SLC1A3	NM_004172
CHRNA3	NM_000743
C10orf113	NM_001010896
ANKRD34A	NM_001039888
PLCB4	NM_000933
NPM2	NM_182795
BTBD8	NM_183242
LIPI	NM_198996
OR10A4	NM_207186
APOA2	NM_001643
CEP44	NM_001145314
RDH13	NM_001145971
NPAS3	NM_001164749
PDIA4	NM_004911
NRF1	NM_005011
RPL3L	NM_005061
PRH1	NM_006250
PPP2R5B	NM_006244
FKBP1B	NM_004116
CD163	NM_004244
OR5M10	NM_001004741
OR5M1	NM_001004740
OR5L2	NM_001004739
OR5L1	NM_001004738
GOLIM4	NM_014498
OMP	NM_006189
POPDC2	NM_022135
KIAA1549	NM_001164665
TTI2	NM_025115
KIAA0226L	NM_025113
ZXDC	NM_025112
E2F8	NM_024680
SERPING1	NM_000062
S100B	NM_006272
S100A1	NM_006271
RRAS	NM_006270
TP53TG5	NM_014477
SARM1	NM_015077
GPR155	NM_152529
DENND2D	NM_024901
GIMAP8	NM_175571
XG	NM_001141919
FAM9B	NM_205849
POLD1	NM_002691
TAGLN	NM_003186
CDC42EP2	NM_006779
ZNF786	NM_152411
PACRG	NM_152410
TMEM155	NM_152399
OR2T10	NM_001004693
OR4C46	NM_001004703
MDM4	NM_002393
CACNB4	NM_000726
CUBN	NM_001081
RPL24	NM_000986
SERPINA3	NM_001085
RPL23A	NM_000984
PDE3B	NM_000922
RALY	NM_016732
CACNA1F	NM_005183
BTN3A3	NM_006994
FBXL22	NM_203373
FIBIN	NM_203371
RAPH1	NM_213589
CAPRIN1	NM_005898
TDRD6	NM_001010870
KISS1R	NM_032551
IL20RB	NM_144717
CCDC13	NM_144719
SPICE1	NM_144718
C19orf25	NM_152482
TMEM161B	NM_153354
FAM46B	NM_052943
HIST2H2AB	NM_175065
RLF	NM_012421
RGS17	NM_012419
TMSB10	NM_021103
BCL7A	NM_020993
PDLIM1	NM_020992
BSN	NM_003458
DACT1	NM_016651
PCTP	NM_021213
IFITM2	NM_006435
NPC2	NM_006432
ARF3	NM_001659
ARF4	NM_001660
SLC22A11	NM_018484
HIST1H2BF	NM_003522
HIST1H2BE	NM_003523
FOXG1	NM_005249
HIST1H2AK	NM_003510
FAIM2	NM_012306
AIMP2	NM_006303
TSG101	NM_006292
STC2	NM_003714
HIST1H4I	NM_003495
DEK	NM_003472
HIST1H2AC	NM_003512
COX6A2	NM_005205
ANAPC2	NM_013366
GGA1	NM_013365
AGO1	NM_012199
C8A	NM_000562
PROSC	NM_007198
XYLB	NM_005108
TIMM23	NM_006327
CKB	NM_001823
CHML	NM_001821
CHGB	NM_001819
CEACAM4	NM_001817
STK19	NM_004197
DZANK1	NM_001099407
MST1R	NM_002447
CYP4F2	NM_001082
RPL19	NM_000981
SH3GL3	NM_003027
IRF2	NM_002199
DISP2	NM_033510
CCNL2	NM_030937
TMEM54	NM_033504
SHCBP1L	NM_030933
DEFA4	NM_001925
NUDT16L1	NM_032349
COL1A1	NM_000088
PLOD2	NM_182943
GLTP	NM_016433
SDPR	NM_004657
HLA-DOB	NM_002120
MYH3	NM_002470
CLEC7A	NM_197947
NDST4	NM_022569
NYX	NM_022567
CSH2	NM_020991
MUC13	NM_033049
MRPL17	NM_022061
CXCL16	NM_022059
ACTR5	NM_024855
AGO3	NM_024852
EPS15L1	NM_001258374
PIGV	NM_017837
CDC42EP4	NM_012121
NRL	NM_006177
NRGN	NM_006176
NPY5R	NM_006174
STOM	NM_004099
TWIST2	NM_057179
SH3TC2	NM_024577
FAM173A	NM_023933
CNTN3	NM_020872
WARS	NM_004184
APOA5	NM_052968
AANAT	NM_001166579
ILKAP	NM_030768
HYAL1	NM_033159
TMEM106A	NM_145041
NXPE3	NM_145037
UBASH3B	NM_032873
MC1R	NM_002386
PROX2	NM_001243007
HIST2H3D	NM_001123375
ANKRD33	NM_182608
HYLS1	NM_145014
ZBTB42	NM_001137601
NCR1	NM_004829
PNLIP	NM_000936
CCR7	NM_001838
EIF2B5	NM_003907
OR2W1	NM_030903
ZBTB38	NM_001080412
ZNF414	NM_001146175
CAPN2	NM_001748
KCTD4	NM_198404
FBF1	NM_001080542
MRPL43	NM_176794
IL22RA2	NM_052962
TBX6	NM_004608
SLK	NM_014720
JPH3	NM_020655
CHDC2	NM_173695
CWF19L2	NM_152434
PES1	NM_014303
FAM86B1	NM_001083537
PLIN4	NM_001080400
WDFY3	NM_014991
CALML5	NM_017422
USP35	NM_020798
WWOX	NM_016373
HSD17B7	NM_016371
ARMCX6	NM_019007
SPATA24	NM_194296
CPNE5	NM_020939
FANCI	NM_001113378
DDX55	NM_020936
STX17	NM_017919
PLCH1	NM_001130960
CCDC86	NM_024098
C1orf50	NM_024097
ZNF426	NM_024106
ALG12	NM_024105
CAPN10	NM_023083
PREX1	NM_020820
PLCL2	NM_015184
CEP68	NM_015147
ERCC6L	NM_017669
NDE1	NM_017668
CCDC132	NM_017667
FAM219B	NM_020447
CERS5	NM_147190
GGTLC1	NM_178311
GPR151	NM_194251
SNAI3	NM_178310
CILP2	NM_153221
CD300LB	NM_174892
TTC23L	NM_144725
ZC3H3	NM_015117
EHMT2	NM_006709
FRA10AC1	NM_145246
OMA1	NM_145243
WDR31	NM_001012361
B3GNT7	NM_145236
C9orf37	NM_032937
GAL3ST3	NM_033036
TMC2	NM_080751
EFCAB11	NM_145231
ROMO1	NM_080748
RPL10L	NM_080746
TRIM69	NM_182985
SRSF12	NM_080743
B3GAT2	NM_080742
VTI1A	NM_145206
SLC23A1	NM_152685
MFAP3	NM_005927
TMEM126A	NM_032273
MAF1	NM_032272
MPP6	NM_016447
WDR43	NM_015131
CRIM1	NM_016441
NAV3	NM_014903
GRAMD4	NM_015124
CHRFAM7A	NM_139320
PRPSAP2	NM_002767
RPA1	NM_002945
NOM1	NM_138400
G6PC3	NM_138387
UTP23	NM_032334
TECR	NM_138501
KRTAP4-1	NM_033060
CTC1	NM_025099
DDI2	NM_032341
PSG2	NM_031246
UCN3	NM_053049
LACTB	NM_032857
ANKRD10	NM_017664
AHR	NM_001621
AASS	NM_005763
OR51V1	NM_001004760
OR51M1	NM_001004756
TMEM129	NM_001127266
NKD2	NM_033120
CCDC80	NM_199511
BOLA3	NM_212552
GALNT8	NM_017417
SLC35F6	NM_017877
EPS8L1	NM_133180
TAF1B	NM_005680
PPP1R14D	NM_001130143
GORASP2	NM_015530
EMC6	NM_031298
PABPC1L2A	NM_001012977
NMS	NM_001011717
ERVV-2	NM_001191055
C20orf201	NM_001007125
MYH1	NM_005963
AEBP2	NM_001114176
KIAA1683	NM_001145304
PDE1C	NM_001191058
ARL4A	NM_005738
ZNF729	NM_001242680
GFOD1	NM_018988
LOC100506688	NM_001242737
FGF4	NM_002007
DES	NM_001927
FN1	NM_212482
OR1E2	NM_003554
OVGP1	NM_002557
MAD2L1	NM_002358
MARCKS	NM_002356
SPN	NM_003123
KRT19	NM_002276
HIST1H4G	NM_003547
TAGLN2	NM_003564
USP4	NM_003363
DIS3L2	NM_152383
C1orf131	NM_152379
CNNM3	NM_017623
C14orf105	NM_018168
TRAPPC1	NM_021210
GJC2	NM_020435
E4F1	NM_004424
TESK1	NM_006285
KCNG2	NM_012283
GNG13	NM_016541
GPR83	NM_016540
LRRC4C	NM_020929
PDGFC	NM_016205
CAPN6	NM_014289
QRSL1	NM_018292
PPM1E	NM_014906
OR52D1	NM_001005163
MAFB	NM_005461
SNCAIP	NM_005460
TTC33	NM_012382
SMPDL3A	NM_006714
KCND2	NM_012281
ZNF500	NM_021646
GPBP1L1	NM_021639
TMEM35	NM_021637
EAPP	NM_018453
YIPF1	NM_018982
RSL24D1	NM_016304
PRDM8	NM_020226
STOX2	NM_020225
AJAP1	NM_018836
SPA17	NM_017425
PEX10	NM_153818
SCNN1B	NM_000336
HTR7	NM_019859
MFAP3L	NM_021647
ASIC2	NM_183377
ACACB	NM_001093
PBLD	NM_022129
GOLPH3	NM_022130
OR7A17	NM_030901
PRR25	NM_001013638
RFESD	NM_001131065
NID2	NM_007361
TMEM168	NM_022484
GZF1	NM_022482
GATS	NM_178831
CCDC97	NM_052848
EMILIN3	NM_052846
HOXC5	NM_018953
C9orf156	NM_016481
ADPRH	NM_001125
ADM	NM_001124
MAN2A2	NM_006122
TAS2R7	NM_023919
TAS2R13	NM_023920
TAS2R8	NM_023918
TAS2R9	NM_023917
KIAA1751	NM_001080484
LINS	NM_001040616
UBAC1	NM_016172
OXCT2	NM_022120
SNTB1	NM_021021
FNDC3B	NM_022763
ABCA10	NM_080282
CLEC18C	NM_173619
HOXB2	NM_002145
XCL1	NM_002995
CDK5R1	NM_003885
KAT2B	NM_003884
ZP4	NM_021186
DROSHA	NM_013235
MAGEE1	NM_020932
TMEM117	NM_032256
CSN3	NM_005212
CSF1R	NM_005211
CSDC2	NM_014460
PDLIM7	NM_005451
OASL	NM_003733
SPINT1	NM_181642
CSNK2A3	NM_001256686
MAPK4	NM_002747
C16orf3	NM_001214
C1QBP	NM_001212
CDC5L	NM_001253
FNDC5	NM_001171941
APBA3	NM_004886
THBS1	NM_003246
HRK	NM_003806
CRADD	NM_003805
RIPK1	NM_003804
SASS6	NM_194292
YJEFN3	NM_198537
C6	NM_000065
FUZ	NM_025129
RELL1	NM_001085399
HHATL	NM_020707
REXO1	NM_020695
DUSP26	NM_024025
SORCS2	NM_020777
ST3GAL2	NM_006927
DUSP14	NM_007026
PDGFRA	NM_006206
PCBP1	NM_006196
CLEC18B	NM_001011880
OR8G2	NM_001007249
PSMA1	NM_148976
ECHDC1	NM_001139510
ZC3H12B	NM_001010888
TMEM171	NM_173490
FCN3	NM_003665
BMP7	NM_001719
BMP6	NM_001718
ECEL1	NM_004826
KCNK6	NM_004823
NTN1	NM_004822
FAM184A	NM_024581
HDDC2	NM_016063
CUTC	NM_015960
DPH5	NM_015958
LCE2A	NM_178428
LCE1E	NM_178353
WDR5	NM_017588
C12orf10	NM_021640
CBR4	NM_032783
ATAD5	NM_024857
HERPUD2	NM_022373
VPS52	NM_022553
MRO	NM_001127176
ST6GAL2	NM_032528
PAGE1	NM_003785
CIDEA	NM_001279
GALT	NM_000155
KIAA1549L	NM_012194
CDKL2	NM_003948
PRKRIR	NM_004705
SPTAN1	NM_001130438
VPS4A	NM_013245
MGAT4C	NM_013244
DNASE1L3	NM_004944
ZNF229	NM_014518
MTERFD2	NM_182501
STRA8	NM_182489
ZFAND2A	NM_182491
KCNH1	NM_172362
TMEM207	NM_207316
IL10RA	NM_001558
DGKE	NM_003647
CYR61	NM_001554
SUMO1	NM_003352
UBE2V2	NM_003350
CCDC155	NM_144688
HIST1H2AL	NM_003511
AKAP11	NM_016248
IMPG2	NM_016247
HSD17B14	NM_016246
HSD17B11	NM_016245
MTFP1	NM_016498
DSCR6	NM_018962
UBASH3A	NM_018961
SEC14L5	NM_014692
ZCCHC13	NM_203303
RBBP8	NM_002894
RANBP6	NM_012416
C1QTNF5	NM_015645
PKD1L1	NM_138295
CHIC2	NM_012110
PRDM4	NM_012406
CDK14	NM_012395
EVI2A	NM_001003927
CROT	NM_001143935
ZNF124	NM_003431
MMP9	NM_004994
BCAM	NM_005581
DNAJB2	NM_006736
EPHA7	NM_004440
EPHA4	NM_004438
PHF7	NM_016483
COX14	NM_032901
FOXA3	NM_004497
PPIE	NM_001195007
RCHY1	NM_015436
F11R	NM_016946
TTC21B	NM_024753
UGT2A3	NM_024743
