No.	Kinase	Group	Family	Subfamily	Gene.Symbol	gene.clean	Description	group.clean
500	RIPK2	TKL	RIPK		RIPK2	RIPK2	receptor-interacting serine-threonine kinase 2	RIPK
501	RIPK3	TKL	RIPK		RIPK3	RIPK3	receptor-interacting serine-threonine kinase 3	RIPK
502	ANKRD3	TKL	RIPK		RIPK4	RIPK4	receptor-interacting serine-threonine kinase 4	RIPK
503	SgK288	TKL	RIPK		ANKK1	ANKK1	ankyrin repeat and kinase domain containing 1	RIPK
504	ALK2	TKL	STKR	Type1	ACVR1	ACVR1	activin A receptor, type I	STKR_Type1
505	ALK4	TKL	STKR	Type1	ACVR1B	ACVR1B	activin A receptor, type IB	STKR_Type1
506	ALK1	TKL	STKR	Type1	ACVRL1	ACVRL1	activin A receptor type II-like 1	STKR_Type1
507	BMPR1A	TKL	STKR	Type1	BMPR1A	BMPR1A	bone morphogenetic protein receptor, type IA	STKR_Type1
508	BMPR1B	TKL	STKR	Type1	BMPR1B	BMPR1B	bone morphogenetic protein receptor, type IB	STKR_Type1
509	TGFbR1	TKL	STKR	Type1	TGFBR1	TGFBR1	transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	STKR_Type1
510	ALK7	TKL	STKR	Type1	ACVR1C	ACVR1C	activin A receptor, type IC	STKR_Type1
511	ACTR2	TKL	STKR	Type2	ACVR2A	ACVR2A	activin A receptor, type IIA	STKR_Type2
512	ACTR2B	TKL	STKR	Type2	ACVR2B	ACVR2B	activin A receptor, type IIB	STKR_Type2
513	MISR2	TKL	STKR	Type2	AMHR2	AMHR2	anti-Mullerian hormone receptor, type II	STKR_Type2
514	BMPR2	TKL	STKR	Type2	BMPR2	BMPR2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	STKR_Type2
515	TGFbR2	TKL	STKR	Type2	TGFBR2	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	STKR_Type2
516	MLKL	TKL	TKL-Unique		MLKL	MLKL	mixed lineage kinase domain-like	TKL-Unique
517	CK2a1-rs	CMGC	CK2					CK2
518	STLK6-rs	STE	STE20	STLK				STE20_STLK
